conversation_root_id,tweet_id,customer_text,intent,escalate_flag,notes
1831956,1831956,@115858 could you please fix the keyboard lag bug on the iPhone 6 with iOS 11.0.3,software_bug,no,UI freeze/crash/lag
2906785,2906785,"@AppleSupport my iMessage and FaceTime fail to activate. I have tried restarting the iPhone and repeating the process, but it continues to say “activation unsuccessful”",software_bug,yes,General iOS software bug | Escalation: Already tried troubleshooting
1525189,1525189,@AppleSupport i have the iPad Air 1 in my movies section i have some movies showing up in 4k can i still watch them on my iPad Air 1?,app_subscription,yes,3rd party or native app specific issue | Escalation: Severe issue impact
2285157,2285157,@AppleSupport offloading half of my apps was the worst thing you could do 😡,app_subscription,yes,3rd party or native app specific issue | Escalation: High frustration/churn threat
2302714,2302714,Woah @AppleSupport my phone was on 19% on my lunch at 2 o’clock put it down on low power mode just lifted it up again on my break and it’s on 10% even though it hasn’t been touched since 2 o’clock?,battery_hardware,yes,Hardware defect | Escalation: Severe issue impact
1980960,1980960,@AppleSupport battery on my iPhone 7 sucks after 11.0.3 upgrade. Have to charge multiple times in a day. Help!!!,battery_hardware,no,Battery drain/charging issue
2077960,2077960,@AppleSupport my iPhone freezes 3 times a day since updating to 11.03. Only remedy is a hard reset. Please help,software_bug,yes,UI freeze/crash/lag | Escalation: Already tried troubleshooting
933333,933333,"iOS 11 is terrible, phone keeps freezing and it’s decreasing my battery like crazy @115858 🙄",battery_hardware,no,Ambiguous query. Prioritized 'battery_hardware' based on primary customer need. | Battery drain/charging issue
906231,906231,Guess I won’t be watching the new @161180 episode b/c my @115858 TV Went on the fritz and I don’t have a USB-C cable. 🙄🙄🙄 @AppleSupport,battery_hardware,no,Hardware defect
1375990,1375990,"@AppleSupport macOS High Sierra makes my MacPro 2013 crash every time it sleeps when display turns off. My settings are set NOT to take power naps or hardrives to sleep, and ""prevent computer from sleeping automatically..."" is checked too. I have to force the power button off...",battery_hardware,no,Hardware overheating/safety
2070868,2070868,@AppleSupport I’m having issues with sending messages to a few of my contacts. Most of them will deliver but some people won’t,software_bug,no,General iOS software bug
1539268,1539268,i️ just saw a pic of spaghetti &amp; i️ almost cried bc i️ want some so bad,software_bug,no,Notorious iOS 11 keyboard/character bug
894371,894371,"@115858 &amp; @AppleSupport, why can I not seem to be able to update any of my apps in the App Store. The circle just keeps going round.",app_subscription,no,Ambiguous query. Prioritized 'app_subscription' based on primary customer need. | 3rd party or native app specific issue
2763321,2763321,When offset said “ric flair drip go woo onna bitch” .....I️ felt that,software_bug,no,Notorious iOS 11 keyboard/character bug
2968366,2968366,"@AppleSupport  Hello, there is serious problem in iOS 11.1 and iOS 11.1.1 hundreds, maybe thousands of iPhones in our region are restarting by itself and stuck on apple logo we have to restore it with recovery or back to iOS 11.0.3 to fix it please take it seriously and solve it",software_bug,yes,Ambiguous query. Prioritized 'software_bug' based on primary customer need. | iOS update glitch | Escalation: Already tried troubleshooting
2754665,2754665,"dear @115858, on iOS 11 I still have to google ""where is the list of my subscriptions"" to find them.",app_subscription,yes,Ambiguous query. Prioritized 'app_subscription' based on primary customer need. | 3rd party or native app specific issue | Escalation: Severe issue impact
1871239,1871239,@AppleSupport how do change the ugly black text back to white in iOS 11.2? https://t.co/VBChUCJfzs,software_bug,no,iOS update glitch
1083946,1083946,"@AppleSupport Every since the last update, the WiFi calling is extremely intermittent. Please fix it!",connectivity,no,Ambiguous query. Prioritized 'connectivity' based on primary customer need. | WiFi connectivity drop
2962381,2962381,@AppleSupport have an iPhone 5se and iPad both on 11.2.1 that starting at midnight December 2 would crash and go to the lock screen every minute. Setting the date to dec 1 “fixed” it. Is there a better way to resolve this?,software_bug,no,UI freeze/crash/lag
2051939,2051939,@AppleSupport  @170480 @115858  iphone 5s cihazların onarımını mı yoksa cihazı degistiriyorsunuz  cihaz şarj almıyor,software_bug,no,General iOS software bug
1522204,1522204,Well after a long two and a half years - the last of which it has been on its last legs - my trusty iPhone 6 has bitten the dust :( @115858,software_bug,no,General iOS software bug
960011,960011,@AppleSupport I see that there is a new update for itunes 12.7.1. Sense downloading 12.7 I have had issue with itunes. Will this fix it?,app_subscription,no,Ambiguous query. Prioritized 'app_subscription' based on primary customer need. | Apple Music/iTunes issue
1532585,1532585,@115858 get you’re shit together with this I️ issue,software_bug,no,Notorious iOS 11 keyboard/character bug
1509176,1509176,@AppleSupport my mom's phone is acting up. What should we do here? https://t.co/3xXFN3uToj,software_bug,no,General iOS software bug
1716947,1716947,@AppleSupport  #iCloud going through outage? https://t.co/ekdYuoT8JV,app_subscription,no,iCloud sync/storage issue
2317135,2317135,Yo @115858 I’m not going to continue paying my iPhone 7+ off til you fix this glitch you not glitching me into upgrading!!!! #iphoneglitch https://t.co/DoYV9zZrM4,software_bug,no,UI freeze/crash/lag
1618255,1618255,why hasn’t @115858 fixed this fucking “i️” problem yet,software_bug,yes,Notorious iOS 11 keyboard/character bug | Escalation: High frustration/churn threat
1344426,1344426,@AppleSupport how do u remove “desktop” &amp; “documents” folders from iCloud once you’ve unchecked the sync option &amp; removed files from iCloud?,app_subscription,no,iCloud sync/storage issue
1569427,1569427,@AppleSupport My 6 Plus is virtually unusable after updating to iOS 11.1. When is the next patch coming out? 11.1 is awful. Help...,software_bug,yes,iOS update glitch | Escalation: Severe issue impact
1750567,1750567,@115858 @116333 not very happy with IOS 11.0.3 too many crashes and issues 10 was alright. Please check. Cheers.,software_bug,no,UI freeze/crash/lag
1486807,1486807,What is wrong with the capital letter “I️” @115858?!?,software_bug,no,Notorious iOS 11 keyboard/character bug
1323385,1323385,@AppleSupport I’ve just received this text message... is it a scam? https://t.co/iIz6799AeL,account_security,no,Security/phishing concern
1920703,1920703,@115858 - after a almost two hour hold with apple i still have not spoken to someone! Unacceptable! Ridiculous! Im so disappointed in their service https://t.co/uew2gz7nZw,software_bug,yes,General iOS software bug | Escalation: High frustration/churn threat
1522869,1522869,"@AppleSupport Are these legitimate @115858 email addresses?   @109672.lists.apple.com, @45871.apple.co.jp, @2310.lists.apple.com, @18775.apple.com, @6376-store.apple.com, @109671.apple.com, @109673.seminars.apple.com, __email__, __email__,",account_security,no,Account recovery/login issue
1840801,1840801,@AppleSupport I DM’d you.,software_bug,no,General iOS software bug
884615,884615,@AppleSupport my phone keeps on freezing 😖 feels like it gets worse with every update!! I keep having to reset it...,software_bug,yes,Ambiguous query. Prioritized 'software_bug' based on primary customer need. | UI freeze/crash/lag | Escalation: Already tried troubleshooting
1044431,1044431,@AppleSupport Mirroring @15782 through Apple TV doesn’t work with iOS 11.0.2. Works with every other app! 😩,app_subscription,no,Ambiguous query. Prioritized 'app_subscription' based on primary customer need. | 3rd party or native app specific issue
1315801,1315801,2.. @AppleSupport @115858 Is there a diagnostic or something you can do on it to work out what’s wrong? Tia. Heidi,software_bug,no,General iOS software bug
2073994,2073994,"@AppleSupport please fix this, my iPhone been doing this all day https://t.co/WhLt2GqjOG",software_bug,no,General iOS software bug
1119794,1119794,@AppleSupport notification alerts are not mirrored in watch(v4).Working fine till Oct 08.all apps are configured to mirror iphone(v11 pb1),app_subscription,no,3rd party or native app specific issue
1554625,1554625,IOS 11 c’est un véritable carnage pour la batterie mais c’est du jamais vu je charge mon tel 3 à 4 fois/jour @115858,battery_hardware,no,Ambiguous query. Prioritized 'battery_hardware' based on primary customer need. | Battery drain/charging issue
1230198,1230198,Now I have lost hope on counting how many settings on iOS11 I turned off and they have unsolicitedly came back on again @AppleSupport,software_bug,yes,iOS update glitch | Escalation: Severe issue impact
1883737,1883737,After the new @AppleSupport update my phone loses battery power when it’s plugged in and I look at it 😤😳😡,battery_hardware,yes,Ambiguous query. Prioritized 'battery_hardware' based on primary customer need. | Battery drain/charging issue | Escalation: High frustration/churn threat
